"Timestamp","What is your age group?","You are a(n)","How often do you procrastinate?","When do you usualy start your tasks?","What are your main reasons for procrastinating","What distracts you the most from your tasks?","How many hours do you spend on your phone?","How would you rate the quality of your work when completed last minute?","How would you rate your overall academic/work performance?  ","does procrastinating affect your preformance"
"2026/04/04 2:21:32 pm EET","18-21","Student","Always","The day of the due date","Lack of motivation;Distractions (social media, games,etc.)","Social Media","8+ hours","3","2","Not sure"
"2026/04/04 2:30:48 pm EET","18-21","Student","Often","A day before the due date","Distractions (social media, games,etc.)","Social Media","4-7 hours","3","3","Yes, negatively"
"2026/04/04 2:31:32 pm EET","18-21","Student","Sometimes","A few days after its announced","Distractions (social media, games,etc.);Poor time mangement","Social Media","8+ hours","3","3","Not sure"
"2026/04/04 2:31:37 pm EET","18-21","Student","Often","A day before the due date","Lack of motivation;Distractions (social media, games,etc.);Poor time mangement;Feeling overwhelmed","Social Media","8+ hours","4","4","Not sure"
"2026/04/04 2:31:46 pm EET","18-21","Student","Rarely","The day of the due date","Poor time mangement;Feeling overwhelmed","Social Media","4-7 hours","2","3","Yes, negatively"
"2026/04/04 2:32:20 pm EET","18-21","Student","Often","A day before the due date","Distractions (social media, games,etc.);Poor time mangement","Social Media","4-7 hours","2","2","Yes, negatively"
"2026/04/04 2:33:50 pm EET","18-21","Student","Always","A day before the due date","Distractions (social media, games,etc.);Poor time mangement","Social Media","4-7 hours","2","1","Yes, negatively"
"2026/04/04 2:34:31 pm EET","18-21","Student","Often","A few days after its announced","Lack of motivation;Poor time mangement","Social Media","2-4 hours","3","3","Yes, negatively"
"2026/04/04 2:34:38 pm EET","18-21","Student","Often","A few days after its announced","Distractions (social media, games,etc.)","Social Media","4-7 hours","3","3","Yes, negatively"
"2026/04/04 2:35:28 pm EET","below 18","Student","Always","A day before the due date","Lack of motivation;Distractions (social media, games,etc.)","Social Media","8+ hours","4","4","Not sure"
"2026/04/04 2:38:59 pm EET","18-21","Student","Sometimes","A day before the due date","Lack of motivation;Distractions (social media, games,etc.);Poor time mangement","Social Media","4-7 hours","3","3","Yes, negatively"
"2026/04/04 2:40:13 pm EET","18-21","Student","Sometimes","A few days after its announced","Lack of motivation;Distractions (social media, games,etc.)","Social Media","2-4 hours","4","4","Not sure"
"2026/04/04 2:41:05 pm EET","18-21","Student","Often","A day before the due date","Lack of motivation;Distractions (social media, games,etc.);Poor time mangement;Feeling overwhelmed","Social Media","8+ hours","4","3","Yes, negatively"
"2026/04/04 2:42:16 pm EET","18-21","Student","Sometimes","Once its announced","Lack of motivation;Feeling overwhelmed","TV/Movies","4-7 hours","4","3","Yes, positively"
"2026/04/04 2:46:41 pm EET","18-21","Student","Often","The day of the due date","Lack of motivation;Distractions (social media, games,etc.);Poor time mangement","Social Media","8+ hours","4","4","Yes, negatively"
"2026/04/04 2:50:29 pm EET","18-21","Student","Sometimes","A few days after its announced","Lack of motivation;Poor time mangement","Social Media","8+ hours","3","4","Yes, negatively"
